Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
8,," 6,780 ",2012,0,Desarrollo Económico,Recursos fiscales,Transporte,,Arrendamiento de mobiliario,Centros de Pesaje y Dimensiones,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Guerrero,Regulación eficiente de las comunicaciones y los transportes,Guerrero,Regulación y supervisión,,," 3,480 ",12.0,3.0,1.0,5,,G,,32302.0,,6.0,9,6,1.0,632
4,,1077761.0,2011,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Aguinaldo o gratificación de fin de año,Investigar y perseguir los delitos del orden federal,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Amparo,Investigación del delito federal,,Prestación de Servicios Públicos,,,1678652.0,,1.0,1.0,6,,E,,13202.0,,2.0,17,3,1.0,312
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",Organizar procesos electorales federales,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Nayarit,Específicos,,," 4,150 ",18.0,1.0,1.0,3,,R,,26103.0,,2.0,22,6,1.0,200
11,, -   ,2013,0,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,"Cal, yeso y productos de yeso",Programa de esquema de financiamiento y subsidio federal para vivienda,"Desarrollo Agrario, Territorial y Urbano",Vivienda,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional de Vivienda,Conducción de la política nacional de vivienda,Distrito Federal,Sujetos a Reglas de Operación," 27,057.0 ",," 27,057.0 ",9.0,2.0,1.0,2,,S,,24301.0,,177.0,15,5,7.0,QCW
3,507.00,"12,500.00",2015,0,,Recursos fiscales,Combustibles y Energía,Desarrollo Económico,Materiales y útiles de oficina,"Regulación y supervisión del otorgamiento de permisos y la administración de estos, en materia de electricidad, gas natural y gas licuado de petróleo",Comisión Reguladora de Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Órgano de Gobierno,Regulación eficiente del sector energético,Distrito Federal,Regulación y supervisión,"23,762.60","23,762.60",,9.0,,1.0,3,3.0,G,"23,762.60",21101.0,"23,255.60",1.0,45,2,1.0,100
6, -   ," 6,838,793 ",2014, 0 ,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Sueldos base,Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Oaxaca,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales, Oaxaca ,Regulación y supervisión," 6,920,874 "," 6,920,874 ",,20.0,,1.0,1,2.0,G," 6,920,874 ",11301.0," 6,920,874 ",3.0,16,6,1.0,140
3, -   ," 66,100 ",2014, 0 ,,Recursos fiscales,Protección Ambiental,Desarrollo Social,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",Conducción de las políticas hídricas,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Chiapas ,"Planeación, seguimiento y evaluación de políticas públicas"," 3,100 "," 3,100 ",,7.0,,1.0,1,2.0,P," 3,100 ",26103.0," 3,100 ",1.0,16,2,1.0,B00
2,,175000.0,2011,,Desarrollo Social,Recursos fiscales,Salud,,Arrendamiento de equipo y bienes informáticos,Actividades de apoyo administrativo,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Centro Nacional para la Salud de la Infancia y la Adolescencia,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,0.0,,2.0,1.0,1,,M,,32301.0,,1.0,12,2,1.0,R00
2,," 432,933.0 ",2013,0,Desarrollo Social,Recursos fiscales,Educación,,Aportaciones al FOVISSSTE,Actividades de apoyo administrativo,Educación Pública,Educación Básica,Gasto corriente,Comisión Nacional de Libros de Texto Gratuitos,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 451,608.0 ",," 451,608.0 ",9.0,2.0,1.0,5,,M,,14201.0,,1.0,11,1,1.0,L6J
6,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Agrarios,,Pasajes terrestres nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Joven Emprendedor Rural y Fondo de Tierras,Reforma Agraria,Asuntos Agrarios,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Dirección General de Política y Planeación Agraria,Impulso a la inversión para mejoramiento de los niveles de los sujetos agrarios,,Sujetos a Reglas de Operación,,,296.0,,3.0,1.0,8,,S,,37204.0,,203.0,15,1,7.0,311
