ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,3.0,,,,2008.0,,"Carreteras eficientes, seguras y suficientes",,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,Gratificación de fin de año,"Estudios técnicos para la construcción, conservación y operación de infraestructura de comunicaciones y transportes",Comunicaciones y Transportes,Carreteras,Gasto corriente,Centro SCT Yucatán,,Prestación de servicios públicos,,,,,,,,,,,,1.0,1.0,,,3.0,E,,174126.0,,,1306.0,,,,4.0,,,,9,,,1.0,,,1.0,,,651,,,,,,,
,,3.0,,,,2015.0,0,,Estado de México,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones al personal de carácter transitorio,Atención Materno Infantil,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica preventiva,,Prestación de Servicios Públicos,,,,,15.0,,,,,2.0,1.0,3.0,,,,,E,"$35,717.00",,,1200.0,,,,6.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,2.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,Erogaciones del Gobierno Federal por Concepto de Seguridad Social y Seguros,Actividades de apoyo administrativo,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Investigación Científica,Gasto corriente,"Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,7.0,,,,,M,9932017.0,,,1400.0,,,,1.0,,,,8,,,1.0,,,1.0,,,JAG,,,,,,,
,,1.0,,,,2015.0,0,,Morelos,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Materiales y artículos de construcción y de reparación,Organización electoral federal,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,17.0,,,,,1.0,1.0,3.0,,,,,R,$600.00,,,2400.0,,,,2.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,Aportaciones,FASSA,Aportaciones Federales para Entidades Federativas y Municipios,Rectoría del Sistema de Salud,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",Fondo de Aportaciones para los Servicios de Salud,,Gasto Federalizado,,,,,9.0,,,,,2.0,1.0,3.0,,,,,I,"$145,557,890.00",,,8300.0,,,,2.0,,,,33,,,4.0,,,1.0,,,416,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Protección Social,,Seguridad social,Programas del Fondo Nacional de Fomento a las Artesanías (FONART),Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Fondo Nacional para el Fomento de las Artesanías,"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza",,Sujetos a Reglas de Operación,,,,,9.0,,,,,2.0,1.0,6.0,,,,,S,"$295,969.00",,,1400.0,,,,57.0,,,,20,,,8.0,,,1.0,,,VZG,,,,,,,
,,2.0,,,,2008.0,,Servicios de apoyo administrativo,,,Recursos fiscales,Salud,Desarrollo Social,Materiales y Artículos de Construcción,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Dirección General de Evaluación del Desempeño,,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,,,1.0,1.0,,,2.0,M,,5943.0,,,2400.0,,,,1.0,,,,12,,,4.0,,,1.0,,,614,,,,,,,
,,2.0,,,,2015.0,0,,Tabasco,Desarrollo Social,Recursos fiscales,Protección Social,,Pago de estímulos a servidores públicos,Gastos de Administración,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,27.0,,,,,2.0,1.0,6.0,,,,,M,"$1,807,390.00",,,1700.0,,,,3.0,,,,51,,,9.0,,,1.0,,,GYN,,,,,,,
"TURISSSTE, Agencias de Servicios Tur¡sticos",14.0,,0,1100.0,Remuneraciones al personal de car cter permanente,2016.0,,,,,,,,,,,,,,,,,,,7.0,Chiapas,,4.0,6.0,Ingresos Propios,Protecci¢n Social,,,,2.0,Desarrollo Social,,,,,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,," 161,000 ",2.0,Gastos Administrativos por Operaci¢n de Fondos y Seguros,,0.0,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros,51,9.0,Otros de Seguridad Social y Asistencia Social,,1.0,Gasto corriente,,GYN,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,,,,,,,
Regulaci¢n Eficiente del Sector Energtico,3.0,,0,3100.0,Servicios b sicos,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Combustibles y Energ¡a,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 593,184 ",1.0,Promoci¢n y regulaci¢n de Hidrocarburos,,0.0,Comisi¢n Nacional de Hidrocarburos,Otros,46,2.0,Petr¢leo y Gas Natural (Hidrocarburos),,1.0,Gasto corriente,,231,Direcci¢nÿGeneral de Licitaciones,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Otras prestaciones sociales y economicas,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en Querétaro,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,3862167.0,,,1500.0,,,,3.0,,,,14,,,2.0,,,1.0,,,142,,,,,,,
